year,month,illnesses,deaths,hospitalizations,state,genus_species,contaminated_ingredient,serotype_or_genotype,etiology_status,location_of_preparation,food_vehicle
2002,10,74,,,California,Clostridium perfringens,,,Suspected,Caterer (food prepared off-site from where served),"stuffing, unspecified"
2008,1,19,0,0,Maine,Norovirus Genogroup II,,unknown,Confirmed,Long-term care/nursing home/assisted living facility,
2003,8,3,0,0,Michigan,,,,,Restaurant - other or unknown type,
1998,12,14,0,1,California,,,,,Private home/residence,"turkey, unspecified; roast beef, unspecified; ham, unspecified"
2014,7,40,0,0,Pennsylvania,Norovirus unknown,,,Confirmed,Caterer (food prepared off-site from where served),"sandwich, hoagie"
2002,6,2,0,,Ohio,,,,,Restaurant - other or unknown type,
1999,5,2,0,0,Hawaii,Ciguatoxin,fin fish,,Confirmed,Private home/residence,"fish, parrot"
2007,1,9,0,0,Maine,,,,,,
1999,12,2,0,0,Alabama,,,,,Restaurant - other or unknown type,
2003,9,35,0,0,Minnesota,Norovirus Genogroup I,,,Confirmed,School/college/university,
1998,8,2,,,Michigan,,,,,,"macaroni and cheese; salad, unspecified"
2004,8,27,0,0,Georgia,Other - Chemical/Toxin,,,Suspected,School/college/university,
1999,10,18,0,0,Minnesota,Norovirus Genogroup I,,,Confirmed,Restaurant - other or unknown type,"sandwich, submarine"
2007,3,7,0,0,Wisconsin,Norovirus Genogroup II,,unknown,Confirmed,Private home/residence,fruit salad
2007,1,15,0,0,Ohio,Norovirus Genogroup II,,unknown,Confirmed,Restaurant - other or unknown type; Banquet Facility (food prepared and served on-site),
2005,5,3,,,Ohio,,,,,Restaurant - other or unknown type,
2013,4,9,0,3,Illinois,Salmonella enterica,,Montevideo,Confirmed,Restaurant - Sit-down dining,
2007,2,15,,,Florida,Bacillus cereus,,,Suspected,Restaurant - other or unknown type,"refried beans, unspecified; rice, steamed"
1998,3,5,0,0,Ohio,,,,,Restaurant - other or unknown type,
2014,2,15,0,0,California,,,,,Caterer (food prepared off-site from where served),"beans, unspecified"
2006,8,19,0,1,Multistate,Salmonella enterica,,Potsdam,Confirmed,Restaurant - other or unknown type,multiple foods
2014,5,4,0,0,Illinois,Norovirus unknown,,,Suspected,Restaurant - Sit-down dining,
2003,12,2,,,Florida,,,,,Restaurant - other or unknown type,multiple foods
1999,1,4,,,Ohio,,,,,Restaurant - other or unknown type,"chicken, buffalo wings"
2007,11,3,0,0,California,Campylobacter unknown,,,Suspected,Other (describe in remarks),candy unspecified
2008,10,125,0,0,Pennsylvania,Norovirus unknown,,,Confirmed,Other (describe in remarks),ice
2010,8,17,0,0,Texas,,,,,Restaurant - Sit-down dining,"refried beans, unspecified"
2001,6,7,,,Florida,Norovirus Genogroup I,,,Suspected,Restaurant - other or unknown type,"sandwich, chicken; pork, unspecified; coleslaw"
2002,3,27,0,0,California,Norovirus Genogroup I,,,Confirmed,Restaurant - other or unknown type,ice
2008,1,2,,,Florida,Campylobacter jejuni,,,Suspected,Restaurant - other or unknown type,"sandwich, chicken"
2001,3,80,0,1,Virginia,Norovirus Genogroup I,,,Suspected,Restaurant - other or unknown type,"meat, unspecified; unspecified vegetables"
2013,8,10,0,0,Puerto Rico,Salmonella enterica,,Mbandaka,Confirmed,Caterer (food prepared off-site from where served),"pork, roasted"
2004,10,3,0,0,Florida,Bacillus cereus,,,Suspected,Restaurant - other or unknown type,"potato, mashed; cheese sauce"
2007,7,4,0,4,Maine,Paralytic shellfish poison,,,Confirmed,,"mussels, steamed"
2007,6,4,0,0,Michigan,,,,,Restaurant - other or unknown type,
2002,2,8,0,0,Florida,,,,,Restaurant - other or unknown type,"rice, white; beef, unspecified"
2008,11,18,0,0,California,Norovirus unknown,,,Suspected,School/college/university,bruschetta
2015,4,2,0,0,Florida,,basil; mozarella; tomato,,,Restaurant - Sit-down dining,"tomato, basil and mozzarella salad"
1998,6,3,,,Maine,,,,,Restaurant - other or unknown type,
2011,5,4,0,0,Texas,,,,,,
2009,12,2,0,0,Indiana,,,,,,
2002,1,2,,,Florida,,,,,Restaurant - other or unknown type,"steak, other"
2003,4,2,,,Washington,Bacillus cereus,,,Suspected,Restaurant - other or unknown type,green pea salad; bean salad
2000,12,21,,,Iowa,Norovirus Genogroup I,,,Suspected,Restaurant - other or unknown type,"pork, bbq"
2006,4,3,0,1,Texas,,,,,Restaurant - other or unknown type,
2006,5,6,0,0,Ohio,Norovirus Genogroup I,,,Confirmed,Restaurant - other or unknown type,
2013,5,7,0,0,Multistate,"Escherichia coli, Shiga toxin-producing",,O157:H7,Confirmed,Restaurant - Sit-down dining,"salmon, unspecified"
2002,2,10,0,0,Maryland,,,,,Caterer (food prepared off-site from where served),
1998,5,2,,,Michigan,,,,,,"chicken, unspecified; shrimp, unspecified; salad, unspecified"
2015,2,30,0,0,Oregon,Norovirus Genogroup II,,,Confirmed,Restaurant - Sit-down dining,
2001,4,3,,,California,,,,,Restaurant - other or unknown type,"oysters, raw"
2005,7,3,0,1,New York,Salmonella enterica,beef,Typhimurium,Confirmed,Private home/residence,"ground beef, hamburger"
2012,11,18,0,0,Wisconsin,,,,,Banquet Facility (food prepared and served on-site),french fries
2014,3,22,0,0,Tennessee,Norovirus Genogroup I,,GI_3B,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter); Restaurant - other or unknown type; Unknown",
2015,4,3,0,0,Kansas,Salmonella enterica,,Enteritidis,Confirmed,Other (describe in remarks),
2001,1,8,,,Florida,,,,,Restaurant - other or unknown type,ice
1999,12,73,0,,Ohio,Norovirus Genogroup II,,unknown,Confirmed,Restaurant - other or unknown type,"ice cream, unspecified"
2005,7,10,0,0,Ohio,,,,,Banquet Facility (food prepared and served on-site),
2002,10,5,0,0,California,Other - Bacterium,,,Suspected,Restaurant - other or unknown type,"pizza, meat and vegetable"
2002,1,27,0,0,Ohio,Norovirus Genogroup I,,,Suspected,Restaurant - other or unknown type,"sandwich, submarine"
2014,7,30,0,0,Oklahoma,Salmonella enterica,,Montevideo,Confirmed,Caterer (food prepared off-site from where served); Grocery store,
2012,6,4,0,0,Rhode Island,Scombroid toxin,,,Confirmed,Other (describe in remarks),tuna steak
2012,5,11,0,0,Florida,Clostridium perfringens,,,Suspected,Caterer (food prepared off-site from where served),"pork, bbq"
2004,3,2,0,0,Kansas,Staphylococcus aureus,,,Suspected,Restaurant - other or unknown type,"sandwich, deli"
2014,3,23,0,0,Minnesota,Norovirus Genogroup II,,,Confirmed,Restaurant - Sit-down dining; Caterer (food prepared off-site from where served),
2001,2,6,0,0,Maryland,,,,,Restaurant - other or unknown type,"spring rolls, unspecified; fried rice, unspecified"
2004,12,63,,,Virginia,Salmonella enterica; Salmonella enterica,,Weltevreden; ,Confirmed; Confirmed,Other (describe in remarks),"tuna, unspecified"
2004,2,4,0,1,Michigan,,,,,Restaurant - other or unknown type,
2009,11,4,0,0,Ohio,Norovirus Genogroup II,,GII_12,Suspected,Restaurant - Sit-down dining,
1999,4,3,0,0,Florida,Staphylococcus aureus,,,Suspected,Restaurant - other or unknown type,"sandwich, chicken"
2013,3,48,0,1,Maryland,Norovirus Genogroup II,,GII_4 Sydney (2012),Confirmed,Banquet Facility (food prepared and served on-site),caesar salad
2010,6,28,0,1,Minnesota,Norovirus,,,Confirmed,Banquet Facility (food prepared and served on-site),
2014,11,5,0,0,Indiana,Staphylococcus aureus,,,Confirmed,Restaurant - Sit-down dining,
2013,4,32,0,,Texas,,,,,Camp,"batch egg, other; cheese; chicken, other; sandwich, chicken; spaghetti, unspecified"
2003,3,3,0,0,Georgia,Staphylococcus aureus,,,Suspected,Restaurant - other or unknown type,
2002,8,22,0,0,Arkansas,Norovirus Genogroup I,chicken,,Suspected,Restaurant - other or unknown type,chicken salad
2007,8,2,0,0,Illinois,,,,,Restaurant - other or unknown type,
2001,7,5,0,1,California,Norovirus Genogroup I,,,Suspected,Restaurant - other or unknown type,lettuce-based salads unspecified
2010,12,30,0,1,Virginia,Norovirus unknown,,,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",
2002,10,36,0,1,Kansas,Norovirus Genogroup I,,,Suspected,Private home/residence,
2002,11,15,0,0,California,Norovirus Genogroup I,,,Suspected,Restaurant - other or unknown type; Caterer (food prepared off-site from where served),
2011,4,25,0,0,California,,,,,Restaurant - Sit-down dining,
2010,11,9,0,,Florida,,,,,"Restaurant - ""Fast-food""(drive up service or pay at counter)",italian sub
2015,8,27,0,0,Florida,Norovirus Genogroup II,,GII_2,Confirmed,Banquet Facility (food prepared and served on-site),
2011,9,24,0,6,Georgia,Staphylococcus aureus,,,Suspected,Private home/residence,
2007,7,8,0,2,West Virginia,Salmonella enterica,,Enteritidis,Confirmed,Private home/residence,"ice cream, homemade"
2003,6,8,0,0,Maryland,Clostridium perfringens,,,Suspected,Grocery store; Other (describe in remarks),"ice cream, commercial; chicken, nuggets/fingers"
2012,11,20,0,0,Colorado,,,,,Restaurant - Sit-down dining,
2015,1,3,0,1,New York,Hepatitis A,,,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",
1999,9,40,0,1,California,Salmonella enterica,,Enteritidis,Confirmed,School/college/university,
2004,11,5,0,0,Arizona,Other - Bacterium,,,Suspected,Restaurant - other or unknown type,
2007,2,15,0,6,Minnesota,Hepatitis A,,,Confirmed,Restaurant - other or unknown type,"ice cream/yogurt, other"
1998,4,12,,,New York,,,,,Religious facility,
2002,12,33,0,1,Virginia,Staphylococcus aureus,,,Confirmed,Caterer (food prepared off-site from where served),"chicken, unspecified; ham, unspecified"
2006,1,12,0,0,Minnesota,Norovirus Genogroup I,,,Confirmed,Private home/residence,"sandwich, submarine"
2004,10,2,0,0,Florida,Scombroid toxin,,,Suspected,Private home/residence,"fish, albacore"
2000,9,21,,,New York,,,,,Other (describe in remarks),
2013,5,3,0,0,New York,Scombroid toxin,tuna,,Confirmed,,"tuna, grilled"
2002,8,3,0,0,Alabama,,,,,Restaurant - other or unknown type,"chicken, fried; french fries"
2014,6,18,0,0,California,Norovirus unknown,"fish, salmon; pepper, ground",,Confirmed,Banquet Facility (food prepared and served on-site),"salmon, unspecified; spices"
2006,11,6,,,North Carolina,,,,,Private home/residence,
2009,11,3,0,2,Pennsylvania,Ciguatoxin,,,Confirmed,Private home/residence,"fish, reef unspecified; fish, reef unspecified"
2002,9,950,0,1,Illinois,Clostridium perfringens,,,Confirmed,Prison/jail,"gravy, beef; roast beef, unspecified; potato, mashed"
2000,5,3,0,0,Florida,,crustacean,,,Restaurant - other or unknown type,"crab, unspecified"
2002,6,40,,,Wisconsin,Norovirus Genogroup I,,,Confirmed,Camp,
2008,10,3,0,0,Ohio,,,,,Restaurant - other or unknown type,"burrito, beef"
2012,12,125,,0,Oregon,Norovirus Genogroup II,,GII_4 New Orleans (2009),Confirmed,Banquet Facility (food prepared and served on-site),fruit salad
2000,6,3,,,Florida,,turkey,,,Restaurant - other or unknown type,"sandwich, turkey"
2003,7,44,0,0,Minnesota,,,,,Caterer (food prepared off-site from where served),coleslaw
2004,11,7,0,0,Ohio,Norovirus Genogroup I,,,Confirmed,Restaurant - other or unknown type,lettuce-based salads unspecified
1998,8,8,,,Michigan,,,,,,
1999,6,2,,,Florida,,,,,Restaurant - other or unknown type,"soda, unspecified; pizza, unspecified"
2001,7,37,0,1,California,Salmonella enterica,,Poona,Suspected,Other (describe in remarks),
2011,11,54,0,3,Georgia,Salmonella enterica,,Infantis,Confirmed,Restaurant - Sit-down dining; Caterer (food prepared off-site from where served),"turkey, smoked; turkey, bbq; turkey, other"
2015,7,5,0,2,Pennsylvania,Puffer fish tetrodotoxin,,,Confirmed,Private home/residence,"fish, puffer unspecified"
2010,9,12,0,0,Kentucky,,,,,Caterer (food prepared off-site from where served),
2004,2,5,,,Florida,,,,,Restaurant - other or unknown type,"ground beef, unspecified"
2001,12,4,0,0,Wyoming,Campylobacter jejuni,,,Confirmed,Restaurant - other or unknown type,"dumplings; chicken, other"
2008,7,9,0,0,New York,,sauces/ dressings,,,Private home/residence; Banquet Facility (food prepared and served on-site),"gravy, pork"
1999,11,32,0,1,Michigan,,,,,Caterer (food prepared off-site from where served),lettuce-based salads unspecified
2004,5,20,0,0,Arizona,Norovirus Genogroup II,,GII_4 other,Confirmed,Restaurant - other or unknown type,
2001,5,6,,1,New Jersey,Staphylococcus aureus,,,Confirmed,Private home/residence,chicken and rice
1998,12,3,0,0,Maryland,,,,,Restaurant - other or unknown type,"clams, raw; oysters, raw"
2009,6,15,0,1,California,Vibrio parahaemolyticus,,,Confirmed,Restaurant - Sit-down dining; Other (describe in remarks),"oysters, raw"
1999,1,2,,0,Washington,,,,,Restaurant - other or unknown type,"egg rolls; fried rice, unspecified; seafood, unspecified"
1999,3,2,0,0,Hawaii,Ciguatoxin,,,Confirmed,Private home/residence,"fish, bass"
2012,3,2,0,0,Maryland,,,,,Restaurant - Sit-down dining,
2002,6,3,0,1,Massachusetts,Salmonella enterica,,Javiana,Confirmed,Restaurant - other or unknown type; Other (describe in remarks),"tomato, unspecified"
1999,5,17,,,South Carolina,,,,,Restaurant - other or unknown type,
2012,7,7,0,0,Wisconsin,Norovirus Genogroup I,,unknown,Confirmed,Restaurant - other or unknown type,
2000,9,3,,,Florida,,,,,Restaurant - other or unknown type,"soda, unspecified; ground beef, cheeseburger; french fries"
2007,3,63,0,0,Georgia,Norovirus Genogroup I,,unknown,Confirmed,Banquet Facility (food prepared and served on-site),
2011,9,13,0,1,Florida,,,,,Restaurant - Sit-down dining,salads
2001,2,80,0,3,Georgia,Norovirus Genogroup I,,,Confirmed,Restaurant - other or unknown type,green salad
2009,7,8,0,0,Florida,Salmonella unknown,,,Confirmed,,
2011,4,17,0,3,Georgia,Salmonella enterica,,Typhimurium var Cope,Confirmed,Private home/residence,chicken
2000,4,14,0,2,Florida,Norovirus Genogroup I,,,Suspected,Restaurant - other or unknown type,"soda, unspecified; pizza, unspecified"
1999,5,7,0,0,Illinois,,,,,Caterer (food prepared off-site from where served),"beef, unspecified"
2006,12,17,0,0,New Hampshire,Norovirus Genogroup II,,unknown,Confirmed,Restaurant - other or unknown type; Private home/residence; Grocery store; Other (describe in remarks),
2012,11,25,0,0,West Virginia,,,,,Banquet Facility (food prepared and served on-site),
2004,10,132,0,12,Ohio,Staphylococcus aureus,,,Confirmed,Restaurant - other or unknown type,"ice cream, commercial"
2005,2,4,0,2,Alaska,"Escherichia coli, Shiga toxin-producing",,O157:H7,Confirmed,Unknown,
2007,2,3,0,0,Kansas,,,,,Restaurant - other or unknown type,
2012,12,22,0,7,Multistate,Salmonella enterica,,Typhimurium,Confirmed,Restaurant - Sit-down dining,ground beef
1999,2,2,,,Maryland,,,,,Restaurant - other or unknown type,
2014,8,4,0,0,Minnesota,Norovirus Genogroup II,,GII_4 Sydney (2012),Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",
2004,11,17,0,0,Illinois,Norovirus Genogroup I,,,Confirmed,Private home/residence; Grocery store,
2004,1,89,0,1,Nevada,Norovirus Genogroup I,,,Suspected,Restaurant - other or unknown type; Long-term care/nursing home/assisted living facility,
2002,10,25,0,0,Colorado,,,,,Private home/residence,"spaghetti, unspecified"
2014,4,216,0,0,Maryland,Clostridium perfringens; Norovirus Genogroup II,,unknown,Confirmed; Confirmed,Other (describe in remarks),"chicken, marsala"
2000,9,5,0,0,Alabama,,,,,Restaurant - other or unknown type,
2014,8,11,0,1,Missouri,Salmonella enterica,,Typhimurium,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter); Private home/residence; Grocery store",
2006,4,11,,,New Jersey,,,,,,
2001,7,2,,,Florida,,,,,Private home/residence,"fish, tilapia"
2012,8,5,0,0,Arizona,Other - Chemical/Toxin,,,Confirmed,Other (describe in remarks),pretzel
2007,4,8,0,0,Illinois,,,,,Restaurant - other or unknown type,
2001,4,2,0,0,Michigan,,,,,Restaurant - other or unknown type,
2002,5,20,,,California,Norovirus Genogroup I,,,Suspected,Restaurant - other or unknown type,
2000,3,2,0,0,Maryland,,,,,Restaurant - other or unknown type,"seafood, other"
2007,10,5,0,0,Texas,,,,,Restaurant - other or unknown type,
2001,11,2,,1,Florida,Campylobacter unknown,,,Suspected,Restaurant - other or unknown type,"ethnic style, buffet"
2002,12,38,,,New York,,,,,Office/indoor workplace,"steak, prime rib"
2005,10,17,0,0,California,Norovirus Genogroup I,egg,,Suspected,Restaurant - other or unknown type,"shell eggs, scrambled soft"
2000,7,15,,,New York,Clostridium perfringens,,,Confirmed,Restaurant - other or unknown type; Caterer (food prepared off-site from where served),"lasagna, beef"
2002,10,3,,,Michigan,,,,,Restaurant - other or unknown type,
2004,1,30,,3,Texas,Norovirus Genogroup I,,,Suspected,Long-term care/nursing home/assisted living facility,
2001,1,6,0,0,Michigan,,,,,Restaurant - other or unknown type; Other (describe in remarks),
2015,7,14,0,0,Colorado,Salmonella enterica,,Bareilly,Confirmed,Private home/residence,cheesecake; cake
2014,6,35,0,4,Washington,Salmonella enterica; Salmonella enterica; Salmonella enterica,,"Anatum; I 4,[5],12:i:-; ",Confirmed; Confirmed; Confirmed,Restaurant - Sit-down dining; Private home/residence; Other (describe in remarks),"beef; lamb; pork, roasted"
2005,3,2,0,0,Washington,Norovirus Genogroup I,,,Suspected,Restaurant - other or unknown type,"burrito, unspecified"
2009,6,2,0,1,California,Norovirus unknown,,,Suspected,,
1999,12,2,0,0,Illinois,,,,,Restaurant - other or unknown type,
2009,12,4,0,0,Arizona,,,,,,
2007,4,7,0,0,Michigan,,,,,Restaurant - other or unknown type,
2003,8,4,0,2,Illinois,Salmonella enterica,,Heidelberg,Confirmed,Restaurant - other or unknown type,"pie, cream"
2009,12,167,0,0,Minnesota,Other - Bacterium,,,Suspected,Prison/jail,meats
2014,6,8,0,0,Maryland,Clostridium perfringens,,,Suspected,Restaurant - Sit-down dining,"pork, bbq"
2004,4,31,0,0,North Carolina,Norovirus Genogroup I,,,Confirmed,Long-term care/nursing home/assisted living facility,
2001,4,9,,,Florida,,,,,Restaurant - other or unknown type,"lo mein, vegetable"
2002,4,119,0,0,North Dakota,Clostridium perfringens,,,Confirmed,Restaurant - other or unknown type,"turkey, roasted"
2000,1,5,0,0,Maryland,Salmonella enterica,egg,Enteritidis,Confirmed,Restaurant - other or unknown type,crab cakes
2004,12,4,0,0,Michigan,,,,,Restaurant - other or unknown type,"pizza, meat"
2011,5,5,0,0,Tennessee,Norovirus Genogroup I,,GI_3B,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",
1999,3,3,0,0,Illinois,,,,,Restaurant - other or unknown type,
1998,11,2,0,0,Florida,,,,,Restaurant - other or unknown type,"rice, unspecified; seafood, unspecified; oysters, unspecified"
2001,12,15,0,1,North Carolina,"Escherichia coli, Shiga toxin-producing",,O157:H7,Suspected,Unknown,
2008,2,31,0,0,Colorado,Clostridium perfringens,,,Confirmed,Prison/jail,chili
2013,2,55,0,0,Georgia,Clostridium perfringens,"beef; gravy, beef",,Suspected,Caterer (food prepared off-site from where served),"beef; gravy, beef"
2012,5,3,0,3,New Jersey,Mycotoxins,,,Confirmed,Private home/residence,mushrooms
1998,3,2,0,0,Florida,,,,,Restaurant - other or unknown type,"cream, unspecified"
2012,6,4,0,0,Pennsylvania,Campylobacter,,,Confirmed,Restaurant - Sit-down dining,"duck, other"
2013,10,2,0,0,California,,,,,Restaurant - Sit-down dining,"rice, unspecified"
2008,12,13,0,0,California,Norovirus Genogroup I,,,Suspected,Restaurant - other or unknown type,
2006,9,3,0,0,Tennessee,Staphylococcus aureus,,,Confirmed,Restaurant - other or unknown type,
2007,3,5,0,0,Kansas,,,,,Restaurant - other or unknown type,
2001,12,10,0,0,Minnesota,Bacillus cereus,,,Suspected,Caterer (food prepared off-site from where served),"condiment, unspecified; vegetable dip, unspecified"
2007,1,47,0,0,Maine,Norovirus Genogroup I,,,Confirmed,,
2012,3,55,0,0,Pennsylvania,,,,,Caterer (food prepared off-site from where served),tomatoes
2014,8,2,0,0,Florida,,,,,Restaurant - Sit-down dining,
2000,5,22,0,0,Pennsylvania,,,,,Camp,
2013,6,4,0,1,Kansas,Salmonella enterica,,Heidelberg,Confirmed,Unknown,
2014,11,7,0,0,Oregon,,,,,Restaurant - Sit-down dining,migas
2003,2,3,,,Florida,Salmonella enterica,,,Suspected,Restaurant - other or unknown type,multiple foods
2003,8,29,0,4,California,Salmonella enterica,,Schwarzengrund,Confirmed,Private home/residence,"multiple foods; spaghetti, unspecified"
2001,8,3,0,0,Michigan,,,,,Restaurant - other or unknown type,
2012,1,10,0,0,Minnesota,Norovirus Genogroup II,,,Confirmed,Restaurant - Sit-down dining,
2013,6,8,0,0,South Carolina,Norovirus Genogroup I,leaf lettuce,GI_3B,Confirmed,,lettuce
2000,3,70,0,0,Louisiana,Norovirus Genogroup I,,,Suspected,Private home/residence,
2013,12,6,0,0,Tennessee,,rice,,,,"chicken, fried; broccoli, unspecified"
2005,2,10,0,0,Oregon,,,,,Restaurant - other or unknown type,
2006,8,2,0,0,Ohio,Norovirus Genogroup I,,,Confirmed,Restaurant - other or unknown type,"pizza, unspecified"
2003,1,2,0,0,Alabama,,,,,Restaurant - other or unknown type,"beef/steak dish, other"
2002,8,16,,2,California,"Escherichia coli, Shiga toxin-producing",,O157:H7,Suspected,Restaurant - other or unknown type,
2009,8,17,0,0,California,Norovirus Genogroup II,,,Suspected,Restaurant - Sit-down dining,
2011,6,5,0,2,Ohio,Salmonella enterica,,Typhimurium,Confirmed,Private home/residence,"ground beef, sloppy joe; ground beef, other"
2013,6,16,0,0,California,Norovirus unknown,,,Confirmed,Restaurant - Sit-down dining,"chips, tortilla; salsa"
2001,10,58,0,0,Georgia,Norovirus Genogroup I,,,Confirmed,Hospital,
1998,10,5,0,,Michigan,,,,,Restaurant - other or unknown type,
2000,2,36,1,10,Illinois,Salmonella enterica,,Enteritidis,Confirmed,Caterer (food prepared off-site from where served),"salmon, unspecified; seafood dish, unspecified"
2001,12,17,0,0,Georgia,Staphylococcus aureus,,,Confirmed,Caterer (food prepared off-site from where served),turkey and stuffing
2006,12,12,0,1,Illinois,,,,,Restaurant - other or unknown type,
1999,12,40,0,0,Michigan,,,,,Restaurant - other or unknown type; Private home/residence,
2002,6,7,0,2,Michigan,Hepatitis A,,,Confirmed,Restaurant - other or unknown type,
2003,6,5,,,Florida,,,,,Restaurant - other or unknown type,"fried rice, unspecified; chicken, sesame; potato, baked"
2005,12,76,0,0,Minnesota,Norovirus Genogroup I,,,Confirmed,Restaurant - other or unknown type,
2012,12,16,0,0,California,Norovirus unknown,,,Suspected,Restaurant - Sit-down dining,
1998,8,38,0,3,Hawaii,Salmonella enterica,egg,Enteritidis,Confirmed,,"eggs, other"
2008,6,10,0,0,Idaho,,,,,Restaurant - other or unknown type,lettuce based salads
2002,6,2,,,Florida,,,,,Restaurant - other or unknown type,"steak, sirloin"
2005,3,11,0,0,California,Norovirus Genogroup I,,,Suspected,Caterer (food prepared off-site from where served),
2015,3,4,0,1,Wisconsin,Salmonella enterica,tuna steak,Weltevreden,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",sushi
2015,12,3,0,2,Ohio,Salmonella enterica,,Enteritidis,Confirmed,Restaurant - Sit-down dining,eggs benedict
2000,1,2,,,Michigan,,,,,,"soda, unspecified; sandwich, corned beef; pickles, unspecified"
2006,1,16,0,0,Oregon,Norovirus Genogroup I,,,Confirmed,Restaurant - other or unknown type,salad bar
2000,5,6,0,0,Florida,Salmonella enterica,,,Suspected,Restaurant - other or unknown type,"salad, unspecified"
2000,7,2,,,Florida,,,,,Restaurant - other or unknown type,"pizza, meat and vegetable"
2013,5,3,0,0,Arkansas,Salmonella enterica,,Mississippi,Suspected,Private home/residence,
1999,9,5,0,0,Minnesota,Norovirus Genogroup I,,,Suspected,Restaurant - other or unknown type; Caterer (food prepared off-site from where served),cantaloupe
2005,7,31,0,1,New York,,vine-stalk eg. tomato; leafy green; pasta,,,Caterer (food prepared off-site from where served),tomato salad; green salad; tuna salad
2003,2,16,,,Kansas,Norovirus Genogroup I,,,Confirmed,Restaurant - other or unknown type,"mashed potato/gravy; roast beef, unspecified; salad bar"
2001,3,19,,,Florida,,,,,Caterer (food prepared off-site from where served),
2015,9,7,0,0,Florida,Other - Chemical/Toxin,water based (eg. drink mix),,Confirmed,Other (describe in remarks),flavored drink
1999,6,7,0,0,Ohio,Norovirus Genogroup I,,,Confirmed,Restaurant - other or unknown type,
2008,3,16,0,5,New Jersey,Salmonella enterica,,Miami,Confirmed,Other (describe in remarks),
2015,5,8,0,0,Alabama,Salmonella enterica,,Enteritidis,Confirmed,Restaurant - Sit-down dining,
2009,11,3,0,0,Kansas,,,,,Restaurant - Sit-down dining,
2009,9,10,0,0,Multistate,"Escherichia coli, Shiga toxin-producing",,O157:H7,Confirmed,,"romaine lettuce, unspecified"
2006,9,3,0,0,Pennsylvania,Campylobacter jejuni,,,Confirmed,Unknown,
2011,1,5,0,1,Michigan,Other - Bacterium,raw milk,,Suspected,,raw milk
2004,12,32,0,1,Virginia,,,,,Restaurant - other or unknown type,
2007,6,23,0,13,Arizona,Salmonella enterica,,Heidelberg,Confirmed,Restaurant - other or unknown type,
2010,7,6,0,0,Florida,Scombroid toxin,"fish, tuna",,Confirmed,Grocery store,tuna burger
2015,9,16,0,0,Kansas,,,,,Restaurant - Sit-down dining,
